Letter reference,Author name,Author API,Author gender,Author DOB,Relation to recipient,Recipient,Recipient API,Recipient gender,Recipient DOB,Relation to author,Change from 2006?,Order of Gardiner letters in file
ALLEN_001,WILLIAM_ALLEN,CARDINAL_OF_ENGLAND,MALE,1532,,RICHARD_HOPKINS,SCHOLAR,MALE,1546?,,ok,
ALLEN_002,WILLIAM_ALLEN,CARDINAL_OF_ENGLAND,MALE,1532,,OWEN_LEWIS,DR/BISHOP_OF_CASSANO,MALE,,,ok,
ALLEN_003,WILLIAM_ALLEN,CARDINAL_OF_ENGLAND,MALE,1532,,JOHN_ARDEN,,MALE,,,ok,
ALLEN_004,WILLIAM_ALLEN,CARDINAL_OF_ENGLAND,MALE,1532,,JOHN_ARDEN,,MALE,,,ok,
ARUNDEL_001,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,,WILLIAM_CECIL,1ST_LORD_BURGHLEY/ROYAL_MINISTER(DNB),MALE,1520,,ok,
ARUNDEL_002,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,KIN,GILBERT_TALBOT_1,7TH_EARL_OF_SHREWSBURY,MALE,1553,KIN,ok,
ARUNDEL_003,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,KIN,GILBERT_TALBOT_1,7TH_EARL_OF_SHREWSBURY,MALE,1553,KIN,ok,
ARUNDEL_004,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_005,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_006,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,KIN,MARY_TALBOT[N.CAVENDISH],COUNTESS_OF_SHREWSBURY,FEMALE,,KIN,ok,
ARUNDEL_007,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_008,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,DAUGHTER,GILBERT_TALBOT_1,7TH_EARL_OF_SHREWSBURY,MALE,1553,FATHER,ok,
ARUNDEL_009,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,KIN,MARY_TALBOT[N.CAVENDISH],COUNTESS_OF_SHREWSBURY,FEMALE,,KIN,ok,
ARUNDEL_010,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,MOTHER,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,SON,ok,
ARUNDEL_011,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMAT(DNB),MALE,1573,,ok,
ARUNDEL_012,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_013,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_014,ANNE_HOWARD[N.DACRE],COUNTESS_OF_ARUNDEL,FEMALE,1553?,,THOMAS_EDMONDES,SIR,MALE,1564?,,ok,
ARUNDEL_015,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_016,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_017,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_018,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_019,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
